Iteration,Query_Count,ARI_Value,NMI_Value
0,0,0,0
1,3,0.0,0.0
2,7,0.03362924798151595,0.04215682629017726
3,13,0.047885109161883425,0.049905223918815675
4,20,0.011471691479984619,0.058863476348835486
5,25,0.011471691479984619,0.058863476348835486
6,32,0.020789989914123272,0.06836814119470984
7,36,0.034637448889327065,0.07672524428600822
8,45,0.038327292254904576,0.08988917629219118
9,52,0.051749963774771146,0.09747003562247937
10,59,0.06030273820414524,0.10969771982537206
11,80,0.07049152946383036,0.13685108818752043
12,86,0.07049152946383036,0.13685108818752043
13,96,0.0810994633024448,0.15044322392938617
14,107,0.0914869172178457,0.1722981849445196
15,111,0.09678522834555191,0.18427918189080167
16,120,0.1105020867807511,0.19707576705972202
17,129,0.11279343216831847,0.22020586473177842
18,136,0.12436945323375372,0.2343356410493875
19,141,0.12852532552593499,0.2390395245378888
20,146,0.13703290787634628,0.24858570750306042
21,153,0.14580346157277002,0.2583215617752297
22,161,0.17851625092976542,0.2877666084121271
23,169,0.18402317418300074,0.3037557048890804
24,177,0.19411801371894147,0.3163357355765569
25,183,0.19903468959244777,0.3213938020671728
26,196,0.21807312235612025,0.33001878444129307
27,203,0.2218151396643792,0.3357835324214016
28,213,0.22635444260137472,0.34327501140265115
29,224,0.23650195046825195,0.3616837012931643
30,239,0.2510786537159456,0.3748835925271344
31,251,0.2489904614609219,0.37259943390361194
32,260,0.2620905699894698,0.38533986743731113
33,270,0.27103709518556957,0.3957795344291504
34,293,0.28637303678476805,0.410052317243798
35,300,0.3019110099732605,0.42374770329439576
36,306,0.34346343861597817,0.45714594355069854
37,316,0.37480633195633867,0.47528877259416347
38,322,0.38044204149876,0.4817999871460171
39,329,0.38608504935321486,0.4888468330596136
40,337,0.40368386448215615,0.5159485682839401
41,345,0.41509881973121443,0.5285262302964744
42,351,0.43713609361970646,0.5488866488050375
43,356,0.43755842632004804,0.5551988629155967
44,366,0.4648571140603824,0.568975859248889
45,371,0.46930653290071034,0.5759341554379711
46,387,0.47553343619038096,0.5899194510588761
47,399,0.49143779823860606,0.600277489253194
48,409,0.5081234917820727,0.6109848660595413
49,415,0.5198707821589221,0.6189408115116889
50,426,0.5314329199168695,0.627071570133353
51,440,0.5477632056459749,0.6375396166184963
52,444,0.5477632056459749,0.6375396166184963
53,451,0.565407275292198,0.6491678172048254
54,460,0.5827094179829114,0.6602180259602103
55,469,0.6056749852300473,0.6704272473673971
56,479,0.6122310443167047,0.6800003069353872
57,500,0.6297253450157573,0.6948698883643708
58,506,0.6357178030380597,0.7036244933587321
59,517,0.6483869660554815,0.711866684399263
60,534,0.6654893401707042,0.7319262633107283
61,544,0.6778581438772358,0.7471015462634859
62,563,0.6853359856634493,0.753473035146049
63,577,0.7072828941027628,0.7638367542081229
64,589,0.7153253143699165,0.7759606633393603
65,600,0.7276530495498351,0.7838060217223481
66,604,0.7276530495498351,0.7838060217223481
67,621,0.7391704901660306,0.7812099875586935
68,633,0.7513252141441453,0.798748230218219
69,640,0.7573858579741882,0.8023289619310741
70,646,0.7633560544262185,0.7987691819539796
71,661,0.7648609066898675,0.8020608371495732
72,667,0.7758384451003548,0.817074701726043
73,677,0.7701080462553596,0.7925861082705219
74,688,0.7825837477556588,0.8008615969891629
75,702,0.8062114850603818,0.8288522913307288
76,715,0.8182924347049528,0.8479274936572815
77,719,0.8182924347049528,0.8479274936572815
78,725,0.8310707570616346,0.8564423693877252
79,739,0.8506332699365189,0.871319392833533
80,746,0.8566056005494284,0.8747528933090869
81,750,0.8566056005494284,0.8747528933090869
82,759,0.8570600788834819,0.8732115537804558
83,774,0.868872075000808,0.8844965895140887
84,778,0.868872075000808,0.8844965895140887
85,783,0.8689865119679774,0.8803905339004746
86,790,0.8872172734152335,0.8960625302137948
87,799,0.9000388202114832,0.9052742236756157
88,808,0.8943373917037256,0.9000709332528253
89,813,0.9003745660404183,0.9057058281464517
90,818,0.9064412557358835,0.9134526675204727
91,822,0.9064412557358835,0.9134526675204727
92,831,0.9133022043350717,0.9183980383962351
93,837,0.9202351621770406,0.9237302475698006
94,841,0.9202351621770406,0.9237302475698006
95,855,0.9262289163730754,0.9300615647559223
96,861,0.9332321312889507,0.9358780708961214
97,867,0.9395528944433689,0.940587689641159
98,883,0.9529735495680799,0.9491937824975465
99,891,0.9730760557570503,0.9691597731562521
100,897,0.9795294549782612,0.9751131504176748
101,901,0.9795294549782612,0.9751131504176748
102,909,0.9860548403532609,0.9831608529986957
103,913,0.9860548403532609,0.9831608529986957
104,920,0.9931801105003056,0.991701667712859
105,925,1.0,1.0000000000000002
